,P,U_x,U_y,x,y,z,t
0,-42299626223424.54,1136771749687113.2,-10.259403448450097,0.0,0.0,0.0,
1,-46564563198051.81,1307371925555994.2,108817069314858.56,0.0,0.07692307692307693,0.0,
2,-42299626223424.54,1080236870945211.2,-10.17647865537361,0.07692307692307693,0.0,0.0,
3,-46564563198051.81,1240981197966568.8,982151296604.2738,0.07692307692307693,0.07692307692307693,0.0,
4,-42299626223424.54,1026100385909716.8,220904675502047.56,0.0,0.15384615384615385,0.0,
5,-46564563198051.81,1078286738478641.8,1980870086401.0063,0.07692307692307693,0.15384615384615385,0.0,
6,-42299626223424.54,915867074185055.1,-10.0966030694408,0.15384615384615385,0.0,0.0,
7,-46564563198051.81,1053681200616639.8,-106852766721650.19,0.15384615384615385,0.07692307692307693,0.0,
8,-42299626223424.54,970764704021018.6,336262818561555.4,0.0,0.23076923076923078,0.0,
9,-46564563198051.81,915592278990716.2,12854336714951.781,0.07692307692307693,0.23076923076923078,0.0,
10,-42299626223424.54,818277857896938.0,-210434996570967.16,0.15384615384615385,0.15384615384615385,0.0,
11,-46564563198051.81,888416897316631.0,36006883830063.78,0.23076923076923078,0.0,0.0,
12,-42299626223424.54,598138288134905.2,-214687684739903.25,0.23076923076923078,0.07692307692307693,0.0,
13,-46564563198051.81,789664303575954.1,504165278482018.8,0.0,0.3076923076923077,0.0,
14,-42299626223424.54,871976290879697.2,23551826420367.312,0.07692307692307693,0.3076923076923077,0.0,
15,-46564563198051.81,748041777318295.5,-336799120824307.06,0.15384615384615385,0.23076923076923078,0.0,
16,-42299626223424.54,552614216863169.06,-426104832607470.75,0.23076923076923078,0.15384615384615385,0.0,
17,-46564563198051.81,449423612606946.4,49081235572317.25,0.3076923076923077,0.0,0.0,
18,-42299626223424.54,221369192210560.8,-322522602758156.8,0.3076923076923077,0.07692307692307693,0.0,
19,-46564563198051.81,617095096249274.4,655697510548578.9,0.0,0.38461538461538464,0.0,
20,-42299626223424.54,819911145863319.0,37616125206260.31,0.07692307692307693,0.38461538461538464,0.0,
21,-46564563198051.81,595222065669124.8,-436960176117501.1,0.15384615384615385,0.3076923076923077,0.0,
22,-42299626223424.54,507090145591437.5,-634251443602714.2,0.23076923076923078,0.23076923076923078,0.0,
23,-46564563198051.81,183283180663606.75,-684251693249871.0,0.3076923076923077,0.15384615384615385,0.0,
24,-42299626223424.54,-224251824204936.84,-9.549113947213433,0.38461538461538464,0.0,0.0,
25,-46564563198051.81,-233674409996162.3,-430357520776412.75,0.38461538461538464,0.07692307692307693,0.0,
26,-42299626223424.54,804757658354925.4,701960468973993.2,0.0,0.46153846153846156,0.0,
27,-46564563198051.81,427508900526938.4,104723223633124.25,0.07692307692307693,0.46153846153846156,0.0,
28,-42299626223424.54,671894033464773.2,-501558464884991.06,0.15384615384615385,0.38461538461538464,0.0,
29,-46564563198051.81,316637042074962.25,-907522903417253.1,0.23076923076923078,0.3076923076923077,0.0,
30,-42299626223424.54,136862123411743.31,-957756197657460.5,0.3076923076923077,0.23076923076923078,0.0,
31,-46564563198051.81,-356869878129076.25,-912995881028627.4,0.38461538461538464,0.15384615384615385,0.0,
32,-42299626223424.54,-819961293038109.5,-9.29508677900369,0.46153846153846156,0.0,0.0,
33,-46564563198051.81,-904611486388104.4,-538192438794667.0,0.46153846153846156,0.07692307692307693,0.0,
34,-42299626223424.54,749421976466227.4,830400759522777.8,0.0,0.5384615384615385,0.0,
35,-46564563198051.81,264814441039011.88,155095681616688.0,0.07692307692307693,0.5384615384615385,0.0,
36,-42299626223424.54,623099425320721.4,-592058547245021.2,0.15384615384615385,0.46153846153846156,0.0,
37,-46564563198051.81,173692078264556.75,-1118718480632182.1,0.23076923076923078,0.38461538461538464,0.0,
38,-42299626223424.54,94608589012348.62,-1270467189798615.5,0.3076923076923077,0.3076923076923077,0.0,
39,-46564563198051.81,-480065346261974.0,-1385759493442069.0,0.38461538461538464,0.23076923076923078,0.0,
40,-42299626223424.54,-891386214347653.9,-1073114340716972.9,0.46153846153846156,0.15384615384615385,0.0,
41,-46564563198051.81,-1593011860085114.8,88304290799086.34,0.5384615384615385,0.0,0.0,
42,-42299626223424.54,-1555947603671996.5,-646027356812915.8,0.5384615384615385,0.07692307692307693,0.0,
43,-46564563198051.81,99387474269236.28,1169542693780772.5,0.0,0.6153846153846154,0.0,
44,-42299626223424.54,663715710814185.2,99432242797858.25,0.07692307692307693,0.6153846153846154,0.0,
45,-46564563198051.81,136762930721626.75,-678194854964550.0,0.15384615384615385,0.5384615384615385,0.0,
46,-42299626223424.54,370517931776267.4,-1239068055354492.0,0.23076923076923078,0.46153846153846156,0.0,
47,-46564563198051.81,-215927467251337.0,-1710190477692411.5,0.3076923076923077,0.38461538461538464,0.0,
48,-42299626223424.54,-380183814313259.25,-1701806861871588.8,0.38461538461538464,0.3076923076923077,0.0,
49,-46564563198051.81,-1131252926976399.8,-1735412950981317.8,0.46153846153846156,0.23076923076923078,0.0,
50,-42299626223424.54,-1588389527454430.5,-1288784176753465.5,0.5384615384615385,0.15384615384615385,0.0,
51,-46564563198051.81,-2515642223836804.0,101378642541347.6,0.6153846153846154,0.0,0.0,
52,-42299626223424.54,-2364056371669356.0,-753862274831168.2,0.6153846153846154,0.07692307692307693,0.0,
53,-46564563198051.81,-73181733057443.03,1360573917202347.0,0.0,0.6923076923076923,0.0,
54,-42299626223424.54,611650565797807.6,126578689073028.5,0.07692307692307693,0.6923076923076923,0.0,
55,-46564563198051.81,-16056780927536.25,-738856918902720.5,0.15384615384615385,0.6153846153846154,0.0,
56,-42299626223424.54,324993860504554.1,-1434132518860432.8,0.23076923076923078,0.5384615384615385,0.0,
57,-46564563198051.81,-348997683222969.5,-2032420576829067.5,0.3076923076923077,0.46153846153846156,0.0,
58,-42299626223424.54,-419166811840309.25,-2119082235158640.8,0.38461538461538464,0.38461538461538464,0.0,
59,-46564563198051.81,-1244573647270517.0,-2319211085316469.0,0.46153846153846156,0.3076923076923077,0.0,
60,-42299626223424.54,-1620831451236838.0,-1928270459821663.2,0.5384615384615385,0.23076923076923078,0.0,
61,-46564563198051.81,-2702784673070137.0,-1599228444364892.2,0.6153846153846154,0.15384615384615385,0.0,
62,-42299626223424.54,-3254099207647146.5,-7.110406206790671,0.6923076923076923,0.0,0.0,
63,-46564563198051.81,-3642878334126924.0,-861697192849430.5,0.6923076923076923,0.07692307692307693,0.0,
64,-42299626223424.54,583414930800135.4,1235344852403046.5,0.0,0.7692307692307693,0.0,
65,-46564563198051.81,-223268937424764.5,365461542599900.0,0.07692307692307693,0.7692307692307693,0.0,
66,-42299626223424.54,476715600888575.75,-843935573091185.0,0.15384615384615385,0.6923076923076923,0.0,
67,-46564563198051.81,-255142813166634.0,-1693056725244414.5,0.23076923076923078,0.6153846153846154,0.0,
68,-42299626223424.54,-32152014185792.25,-2188976944988099.2,0.3076923076923077,0.5384615384615385,0.0,
69,-46564563198051.81,-849651750660585.0,-2744801843649758.5,0.38461538461538464,0.46153846153846156,0.0,
70,-42299626223424.54,-998523596311818.5,-2658256825249824.5,0.46153846153846156,0.38461538461538464,0.0,
71,-46564563198051.81,-2006795749906676.0,-2789773812616198.0,0.5384615384615385,0.3076923076923077,0.0,
72,-42299626223424.54,-2422399145489530.0,-2251775213876385.5,0.6153846153846154,0.23076923076923078,0.0,
73,-46564563198051.81,-3726574810904836.0,-1827972632143656.5,0.6923076923076923,0.15384615384615385,0.0,
74,-42299626223424.54,-4281148348553333.5,-7.35368898297054,0.7692307692307693,0.0,0.0,
75,-46564563198051.81,-4797452489560892.0,-969532110867683.0,0.7692307692307693,0.07692307692307693,0.0,
76,-42299626223424.54,528079248911437.94,1376867290441106.5,0.0,0.8461538461538463,0.0,
77,-46564563198051.81,-385963396912690.0,455332991938478.0,0.07692307692307693,0.8461538461538463,0.0,
78,-42299626223424.54,427920992744530.25,-921353507961932.5,0.15384615384615385,0.7692307692307693,0.0,
79,-46564563198051.81,-398087776977023.5,-1864753311104306.0,0.23076923076923078,0.6923076923076923,0.0,
80,-42299626223424.54,-74405548585157.0,-2488605789639939.0,0.3076923076923077,0.6153846153846154,0.0,
81,-46564563198051.81,-972847218793429.0,-3178066464708113.0,0.38461538461538464,0.5384615384615385,0.0,
82,-42299626223424.54,-1034236056966505.0,-3180096579682762.0,0.46153846153846156,0.46153846153846156,0.0,
83,-46564563198051.81,-2110241722361999.5,-3484606468873046.5,0.5384615384615385,0.38461538461538464,0.0,
84,-42299626223424.54,-2451570532399565.0,-2995825878090452.0,0.6153846153846154,0.3076923076923077,0.0,
85,-46564563198051.81,-3810271287682685.0,-2784373323599052.5,0.6923076923076923,0.23076923076923078,0.0,
86,-42299626223424.54,-4326408974884285.0,-1935793684862945.8,0.7692307692307693,0.15384615384615385,0.0,
87,-46564563198051.81,-6008988933654851.0,140601697768133.94,0.8461538461538463,0.0,0.0,
88,-42299626223424.54,-5435392183770958.0,-1077367028885926.5,0.8461538461538463,0.07692307692307693,0.0,
89,-46564563198051.81,-590889355037481.4,1992916074499575.0,0.0,0.9230769230769231,0.0,
90,-42299626223424.54,455455130748676.5,227641249132463.0,0.07692307692307693,0.9230769230769231,0.0,
91,-46564563198051.81,-474515915875017.5,-861594623684708.0,0.15384615384615385,0.8461538461538463,0.0,
92,-42299626223424.54,188421646689434.75,-1999702688144306.0,0.23076923076923078,0.7692307692307693,0.0,
93,-46564563198051.81,-748208331137811.0,-2939862387206421.0,0.3076923076923077,0.6923076923076923,0.0,
94,-42299626223424.54,-536115804421378.0,-3351285133785789.0,0.38461538461538464,0.6153846153846154,0.0,
95,-46564563198051.81,-1584535808152744.5,-4011357001289246.0,0.46153846153846156,0.5384615384615385,0.0,
96,-42299626223424.54,-1718157222583887.5,-3827106087792119.5,0.5384615384615385,0.46153846153846156,0.0,
97,-46564563198051.81,-2983498346919864.0,-4076078465933221.5,0.6153846153846154,0.38461538461538464,0.0,
98,-42299626223424.54,-3357702607798155.0,-3427165550163382.5,0.6923076923076923,0.3076923076923077,0.0,
99,-46564563198051.81,-4945095947439119.0,-3134026781138293.0,0.7692307692307693,0.23076923076923078,0.0,
100,-42299626223424.54,-5454751960064067.0,-2151463520899434.0,0.8461538461538463,0.15384615384615385,0.0,
101,-46564563198051.81,-7415256376448528.0,153676049510406.28,0.9230769230769231,0.0,0.0,
102,-42299626223424.54,-6674840623841326.0,-1185201946904178.2,0.9230769230769231,0.07692307692307693,0.0,
103,-46564563198051.81,-763458562364159.5,2223446289276158.0,0.0,1.0,0.0,
104,-42299626223424.54,403389985732299.6,267869842896911.0,0.07692307692307693,1.0,0.0,
105,-46564563198051.81,-627335627524175.0,-882757696267857.0,0.15384615384615385,0.9230769230769231,0.0,
106,-42299626223424.54,142897575417735.75,-2181685004160951.0,0.23076923076923078,0.8461538461538463,0.0,
107,-46564563198051.81,-881278547109414.0,-3222593494988033.5,0.3076923076923077,0.7692307692307693,0.0,
108,-42299626223424.54,-575098801948372.2,-3755478359583498.0,0.38461538461538464,0.6923076923076923,0.0,
109,-46564563198051.81,-1697856528446772.0,-4555656144269264.0,0.46153846153846156,0.6153846153846154,0.0,
110,-42299626223424.54,-1750599146366184.5,-4453510223370900.0,0.5384615384615385,0.5384615384615385,0.0,
111,-46564563198051.81,-3077069571536357.0,-4881945644111721.0,0.6153846153846154,0.46153846153846156,0.0,
112,-42299626223424.54,-3383603457835795.0,-4275780595523290.0,0.6923076923076923,0.38461538461538464,0.0,
113,-46564563198051.81,-5018917676378118.0,-4201461994515354.0,0.7692307692307693,0.3076923076923077,0.0,
114,-42299626223424.54,-5474111736357112.0,-3222289476040532.5,0.8461538461538463,0.23076923076923078,0.0,
115,-46564563198051.81,-7523400842971906.0,-2514205195479922.5,0.9230769230769231,0.15384615384615385,0.0,
116,-42299626223424.54,-8009305279381392.0,-5.531158339353576,1.0,0.0,0.0,
117,-46564563198051.81,-8986630574425687.0,-1293036864922445.2,1.0,0.07692307692307693,0.0,
118,-42299626223424.54,281537168312401.5,-1133984091340241.5,0.15384615384615385,1.0,0.0,
119,-46564563198051.81,-826922668408164.5,-2320594581651434.0,0.23076923076923078,0.9230769230769231,0.0,
120,-42299626223424.54,-201166151783202.25,-3367869102361468.0,0.3076923076923077,0.8461538461538463,0.0,
121,-46564563198051.81,-1342433623191866.0,-4418611840850532.0,0.38461538461538464,0.7692307692307693,0.0,
122,-42299626223424.54,-1141373438930432.0,-4725992621747468.0,0.46153846153846156,0.6923076923076923,0.0,
123,-46564563198051.81,-2420579639727769.0,-5509855950610808.0,0.5384615384615385,0.6153846153846154,0.0,
124,-42299626223424.54,-2539084693129440.5,-5208354649498439.0,0.6153846153846154,0.5384615384615385,0.0,
125,-46564563198051.81,-4061360718015920.0,-5594326910932349.0,0.6923076923076923,0.46153846153846156,0.0,
126,-42299626223424.54,-4394299914380251.5,-4814955185614390.0,0.7692307692307693,0.38461538461538464,0.0,
127,-46564563198051.81,-6264776858056277.0,-4672024721815076.0,0.8461538461538463,0.3076923076923077,0.0,
128,-42299626223424.54,-6707019102682798.0,-3545794230095235.0,0.9230769230769231,0.23076923076923078,0.0,
129,-46564563198051.81,-9030828059848586.0,-2742949383258675.0,1.0,0.15384615384615385,0.0,
130,-42299626223424.54,51849432874352.5,-2535838025577260.0,0.23076923076923078,1.0,0.0,
131,-46564563198051.81,-1147418979052580.0,-3758431467034902.0,0.3076923076923077,0.9230769230769231,0.0,
132,-42299626223424.54,-653064797002309.0,-4554053200561876.0,0.38461538461538464,0.8461538461538463,0.0,
133,-46564563198051.81,-1924497969034777.0,-5614630186712979.0,0.46153846153846156,0.7692307692307693,0.0,
134,-42299626223424.54,-1815482993930693.0,-5696506883911396.0,0.5384615384615385,0.6923076923076923,0.0,
135,-46564563198051.81,-3264212020769243.0,-6464055756952346.0,0.6153846153846154,0.6153846153846154,0.0,
136,-42299626223424.54,-3435405157910911.0,-5963199075625927.0,0.6923076923076923,0.5384615384615385,0.0,
137,-46564563198051.81,-5166561134255987.0,-6306708177752951.0,0.7692307692307693,0.46153846153846156,0.0,
138,-42299626223424.54,-5512831288942972.0,-5354129775705495.0,0.8461538461538463,0.38461538461538464,0.0,
139,-46564563198051.81,-7631545309494898.0,-5142587449114742.0,0.9230769230769231,0.3076923076923077,0.0,
140,-42299626223424.54,-8047761387026734.0,-3869298984149932.5,1.0,0.23076923076923078,0.0,
141,-46564563198051.81,-1280489195024154.0,-4011538331300203.0,0.3076923076923077,1.0,0.0,
142,-42299626223424.54,-692047794529269.0,-4948434815742580.0,0.38461538461538464,0.9230769230769231,0.0,
143,-46564563198051.81,-2037818689328750.0,-6129305086176664.0,0.46153846153846156,0.8461538461538463,0.0,
144,-42299626223424.54,-1847924917712923.0,-6313099408873136.0,0.5384615384615385,0.7692307692307693,0.0,
145,-46564563198051.81,-3357783245385630.0,-7240298691614424.0,0.6153846153846154,0.6923076923076923,0.0,
146,-42299626223424.54,-3461306007948417.5,-6802002510368696.0,0.6923076923076923,0.6153846153846154,0.0,
147,-46564563198051.81,-5240382863194829.0,-7344519147613509.0,0.7692307692307693,0.5384615384615385,0.0,
148,-42299626223424.54,-5532191065235797.0,-6415144120229345.0,0.8461538461538463,0.46153846153846156,0.0,
149,-46564563198051.81,-7685617542756286.0,-6441966454173843.0,0.9230769230769231,0.38461538461538464,0.0,
150,-42299626223424.54,-8060580089574983.0,-5152524238455014.0,1.0,0.3076923076923077,0.0,
151,-46564563198051.81,-1712020027590188.0,-5570284486444026.0,0.38461538461538464,1.0,0.0,
152,-42299626223424.54,-1248510820894184.5,-6242453831961080.0,0.46153846153846156,0.9230769230769231,0.0,
153,-46564563198051.81,-2730917557093293.0,-7446232701799487.0,0.5384615384615385,0.8461538461538463,0.0,
154,-42299626223424.54,-2626598853858975.0,-7391448589055120.0,0.6153846153846154,0.7692307692307693,0.0,
155,-46564563198051.81,-4312450148348748.0,-8315407767716310.0,0.6923076923076923,0.6923076923076923,0.0,
156,-42299626223424.54,-4462190853875707.0,-7664681854514292.0,0.7692307692307693,0.6153846153846154,0.0,
157,-46564563198051.81,-6456617801356538.0,-8177809684194510.0,0.8461538461538463,0.5384615384615385,0.0,
158,-42299626223424.54,-6755286820944353.0,-7062153628338623.0,0.9230769230769231,0.46153846153846156,0.0,
159,-46564563198051.81,-9163420516116628.0,-7033438451233980.0,1.0,0.38461538461538464,0.0,
160,-42299626223424.54,-1284223281548719.0,-6741399828287572.0,0.46153846153846156,1.0,0.0,
161,-46564563198051.81,-2834363529548398.0,-8071942123184769.0,0.5384615384615385,0.9230769230769231,0.0,
162,-42299626223424.54,-2655770240768750.0,-8112605495162614.0,0.6153846153846154,0.8461538461538463,0.0,
163,-46564563198051.81,-4396146625126249.0,-9202685224300014.0,0.6923076923076923,0.7692307692307693,0.0,
164,-42299626223424.54,-4484821167040741.0,-8608049670402814.0,0.7692307692307693,0.6923076923076923,0.0,
165,-46564563198051.81,-6520564782456478.0,-9326655175976616.0,0.8461538461538463,0.6153846153846154,0.0,
166,-42299626223424.54,-6771376060364704.0,-8227732354008214.0,0.9230769230769231,0.5384615384615385,0.0,
167,-46564563198051.81,-9207618001539048.0,-8443851978214652.0,1.0,0.46153846153846156,0.0,
168,-42299626223424.54,-1945250689059381.0,-8143253762524121.0,0.5384615384615385,1.0,0.0,
169,-46564563198051.81,-3638496919234538.0,-9509779008567882.0,0.6153846153846154,0.9230769230769231,0.0,
170,-42299626223424.54,-3539008558060609.0,-9298789593362678.0,0.6923076923076923,0.8461538461538463,0.0,
171,-46564563198051.81,-5461848050010958.0,-1.0398703570162168e+16,0.7692307692307693,0.7692307692307693,0.0,
172,-42299626223424.54,-5590270394113853.0,-9578563932566504.0,0.8461538461538463,0.6923076923076923,0.0,
173,-46564563198051.81,-7847834242539856.0,-1.028085498231798e+16,0.9230769230769231,0.6153846153846154,0.0,
174,-42299626223424.54,-8099036197219090.0,-8982576780135594.0,1.0,0.5384615384615385,0.0,
175,-46564563198051.81,-3732068143850764.0,-1.0246522951874758e+16,0.6153846153846154,1.0,0.0,
176,-42299626223424.54,-3564909408097923.0,-1.012451088061594e+16,0.6923076923076923,0.9230769230769231,0.0,
177,-46564563198051.81,-5535669778949570.0,-1.139701554866744e+16,0.7692307692307693,0.8461538461538463,0.0,
178,-42299626223424.54,-5609630170406389.0,-1.0626496129600764e+16,0.8461538461538463,0.7692307692307693,0.0,
179,-46564563198051.81,-7901906475800857.0,-1.1540734996021628e+16,0.9230769230769231,0.6923076923076923,0.0,
180,-42299626223424.54,-8111854899766913.0,-1.0252719886950866e+16,1.0,0.6153846153846154,0.0,
181,-46564563198051.81,-4647236055458454.0,-1.1805269107018138e+16,0.6923076923076923,1.0,0.0,
182,-42299626223424.54,-4552712106535491.0,-1.141852989683401e+16,0.7692307692307693,0.9230769230769231,0.0,
183,-46564563198051.81,-6712405725755872.0,-1.271394316428992e+16,0.8461538461538463,0.8461538461538463,0.0,
184,-42299626223424.54,-6819643778625252.0,-1.1704845309782488e+16,0.9230769230769231,0.7692307692307693,0.0,
185,-46564563198051.81,-9340210457805846.0,-1.2615844072123344e+16,1.0,0.6923076923076923,0.0,
186,-42299626223424.54,-4575342419700327.0,-1.2348815565232984e+16,0.7692307692307693,1.0,0.0,
187,-46564563198051.81,-6776352706855498.0,-1.3823289664716656e+16,0.8461538461538463,0.9230769230769231,0.0,
188,-42299626223424.54,-6835733018045258.0,-1.2857341887962386e+16,0.9230769230769231,0.8461538461538463,0.0,
189,-46564563198051.81,-9384407943227872.0,-1.3986758607748442e+16,1.0,0.7692307692307693,0.0,
190,-42299626223424.54,-5667709499283589.0,-1.3750669499469026e+16,0.8461538461538463,1.0,0.0,
191,-46564563198051.81,-8064123175583282.0,-1.5261126550099274e+16,0.9230769230769231,0.9230769230769231,0.0,
192,-42299626223424.54,-8150311007409823.0,-1.4043525986162128e+16,1.0,0.8461538461538463,0.0,
193,-46564563198051.81,-8118195408843990.0,-1.648150757244754e+16,0.9230769230769231,1.0,0.0,
194,-42299626223424.54,-8163129709957208.0,-1.530058694548753e+16,1.0,0.9230769230769231,0.0,
195,-46564563198051.81,-9517000399493262.0,-1.804025372759027e+16,1.0,1.0,0.0,
